nwname,fname,smile,CHA score,CCA score,mws,logps,hbds,hbas,psas,robs,qeds,chiral_centes,RO5scores,RO5scoresnum
1129aw,P112427450.sdf,CCN[C@H]1C[C@@H]([C@H]([C@@H]([C@H]1O[C@@H]2[C@@H]([C@H]([C@@](CO2)(C)O)NC)O)O)O[C@@H]3[C@@H](CC=C(O3)CN)N)N,0.394,0.21,475.6,-3.2,11,12,199.7,8,0.18,11,--++-+,3
1130aw,P112427449.sdf,CC[NH2+][C@H]1C[C@@H]([C@H]([C@@H]([C@H]1O[C@@H]2[C@@H]([C@H]([C@@](CO2)(C)O)NC)O)O)O[C@@H]3[C@@H](CC=C(O3)CN)N)N,0.242,0.23,476.6,-4.23,12,12,204.3,8,0.17,11,--++-+,3
1131aw,P112402519.sdf,CC(=O)c1ccc2c(c1[O-])[C@@H]([C@H](O2)C(=C)CO)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)OC(=O)C[C@@](C)(CC(=O)[O-])O)O,0.303,0.24,554.5,-3.04,5,14,235.4,11,0.1,8,--++++,4
1132aw,P112402518.sdf,CC(=O)c1ccc2c(c1[O-])[C@H]([C@@H](O2)C(=C)CO)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)OC(=O)C[C@@](C)(CC(=O)[O-])O)O,0.515,0.25,554.5,-3.04,5,14,235.4,11,0.1,8,--++++,4
1133aw,P112402517.sdf,CC(=O)c1ccc2c(c1[O-])[C@@H]([C@@H](O2)C(=C)CO)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)OC(=O)C[C@@](C)(CC(=O)[O-])O)O,0.061,0.25,554.5,-3.04,5,14,235.4,11,0.1,8,--++++,4
1134aw,P112402338.sdf,COc1cc(ccc1O[C@@H]2[C@@H]([C@@H]([C@@H]([C@@H](O2)CO)O)O)O)[C@@H]3[C@@H]([C@@H](CO3)[C@@H](c4ccc(c(c4)OC)O)O)CO,0.212,0.22,538.5,-0.38,7,12,187.8,9,0.22,9,--++-+,3
1135aw,P112401965.sdf,COc1cc(cc(c1O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O)O)O)OC)/C=C/CO,0.333,0.24,534.5,-3.29,8,14,217.2,10,0.15,10,--++++,4
1136aw,P112401963.sdf,c1cc(c(cc1CC[C@@H](CC(=O)CCc2ccc(c(c2)O)O)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O)O,0.061,0.23,508.5,0.22,8,11,197.4,11,0.19,6,--++++,4
1137aw,P112401962.sdf,CC(=O)c1ccc2c(c1O)[C@H]([C@H](O2)C(=C)CO)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)OC(=O)C[C@@](C)(CC(=O)[O-])O)O,0.121,0.23,555.5,-2.41,6,14,232.6,11,0.09,8,--++++,4
1138aw,P112401961.sdf,CC(=O)c1ccc2c(c1O)[C@@H]([C@H](O2)C(=C)CO)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)OC(=O)C[C@@](C)(CC(=O)[O-])O)O,0.091,0.24,555.5,-2.41,6,14,232.6,11,0.09,8,--++++,4
1139aw,P112401959.sdf,CC(=O)c1ccc2c(c1O)[C@@H]([C@@H](O2)C(=C)CO)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)OC(=O)C[C@@](C)(CC(=O)[O-])O)O,0.273,0.25,555.5,-2.41,6,14,232.6,11,0.09,8,--++++,4
1140aw,P112401766.sdf,C/C(=C\C(=O)NCCC[C@H]1C(=O)N[C@H](C(=O)N1)CCCNC(=O)/C=C(\C)/CCO[C@@H]2[C@@H]([C@@H]([C@@H]([C@@H](O2)CO)O)O)O)/CCO,0,0.17,614.7,-2.76,9,15,236,17,0.06,7,--++++,4
1141aw,P112401765.sdf,C/C(=C\C(=O)NCCC[C@@H]1C(=O)N[C@H](C(=O)N1)CCCNC(=O)/C=C(\C)/CCO[C@@H]2[C@@H]([C@@H]([C@@H]([C@@H](O2)CO)O)O)O)/CCO,0.364,0.18,614.7,-2.76,9,15,236,17,0.06,7,--++++,4
1142aw,P112401764.sdf,C/C(=C\C(=O)NCCC[C@H]1C(=O)N[C@@H](C(=O)N1)CCCNC(=O)/C=C(\C)/CCO[C@@H]2[C@@H]([C@@H]([C@@H]([C@@H](O2)CO)O)O)O)/CCO,0.303,0.19,614.7,-2.76,9,15,236,17,0.06,7,--++++,4
1143aw,P112401763.sdf,C/C(=C\C(=O)NCCC[C@@H]1C(=O)N[C@@H](C(=O)N1)CCCNC(=O)/C=C(\C)/CCO[C@@H]2[C@@H]([C@@H]([C@@H]([C@@H](O2)CO)O)O)O)/CCO,0.394,0.16,614.7,-2.76,9,15,236,17,0.06,7,--++++,4
1144aw,P112401640.sdf,COc1cc(ccc1O)/C=C/C(=O)OC[C@H]2[C@H]([C@@H]([C@@](O2)(CO)O[C@@H]3[C@@H]([C@@H]([C@@H]([C@@H](O3)CO)O)O)O)O)O,0.273,0.24,518.5,-3.42,8,14,225.1,9,0.12,9,--++-+,3
1145aw,P112401639.sdf,COc1cc(ccc1O)/C=C/C(=O)OC[C@@H]2[C@H]([C@@H]([C@@](O2)(CO)O[C@@H]3[C@@H]([C@@H]([C@@H]([C@@H](O3)CO)O)O)O)O)O,0.394,0.23,518.5,-3.42,8,14,225.1,9,0.12,9,--++-+,3
1146aw,P112401568.sdf,COc1cc(ccc1O[C@H](CO)[C@H](c2ccc(c(c2)OC)O)O)CCCO[C@@H]3[C@@H]([C@@H]([C@@H]([C@@H](O3)CO)O)O)O,0.667,0.21,540.6,-0.37,7,12,187.8,13,0.16,7,--++++,4
1147aw,P112401567.sdf,COc1cc(ccc1O[C@@H](CO)[C@H](c2ccc(c(c2)OC)O)O)CCCO[C@@H]3[C@@H]([C@@H]([C@@H]([C@@H](O3)CO)O)O)O,0.212,0.19,540.6,-0.37,7,12,187.8,13,0.16,7,--++++,4
1148aw,P112401566.sdf,COc1cc(ccc1O[C@H](CO)[C@@H](c2ccc(c(c2)OC)O)O)CCCO[C@@H]3[C@@H]([C@@H]([C@@H]([C@@H](O3)CO)O)O)O,0.03,0.22,540.6,-0.37,7,12,187.8,13,0.16,7,--++++,4
1149aw,P112401520.sdf,CCCCCCCCCC(=O)O[C@@H]1[C@@H]([C@@H]([C@@H](O[C@@H]1O[C@@]2([C@@H]([C@@H]([C@@H](O2)CO)O)OC(=O)C(C)C)CO)CO)O)OC(=O)C(C)C,0.545,0.25,636.7,0.71,5,14,207.7,18,0.08,9,--++++,4
1150aw,P112301237.sdf,Cc1[nH+]cc(c(n1)N)CN(C=O)/C(=C(/CCO)\SSC(=C(C)N(Cc2cnc(nc2N)C)C=O)CCO)/C,0,0.16,563.7,1.69,7,12,185.9,15,0.18,0,--++++,4
1151ax,P112299966.sdf,c1nc(c2c(n1)n(cn2)[C@H]3[C@H]([C@@H]([C@H](O3)CO[P@@](=O)(C[P@@](=O)([O-])OP(=O)([O-])[O-])[O-])O)O)N,0.394,0.264,501.2,-4.05,4,17,281.2,8,0.29,6,---+-+,2
1152ax,P112142274.sdf,CC(=O)N[C@H]1[C@@H]([C@@H]([C@@H](O[C@@H]1OCCOCCOCC[NH3+])COC(=O)C)OC(=O)C)OC(=O)C,0,0.07,479.5,-2.07,4,13,172.6,14,0.16,5,---+++,3
1153ax,P112125170.sdf,c1nc(c2c(n1)n(cn2)[C@H]3[C@H]([C@@H]([C@H](O3)CO[P@@](=O)([O-])O[P@@](=O)([O-])O[P@@](=O)(O)[O-])O)O)N,0.394,0.24,504.2,-3.52,5,18,287.6,8,0.25,7,--++-+,3
1154ax,P112105757.sdf,CCOc1ccc(cc1)C[NH+]2CCN(CC2)C[C@@H](COc3ccc(cc3)OC[C@H](CN4CC[NH+](CC4)Cc5ccc(cc5)OCC)O)O,0.091,0.06,664.9,0.76,4,10,92.7,18,0.16,2,---+++,3
1155ax,P112078269.sdf,COCCNS(=O)(=O)c1cc(cc(c1)n2cc(cn2)CCO)C(=O)[O-],0.182,0.13,368.4,-1.3,2,9,133.6,9,0.53,0,------,0
1156ax,P112065397.sdf,Cc1ccc(o1)CN2CCNC(=O)[C@@H]2CC(=O)NC(CO)(CO)CO,0.576,0.2,355.4,-1.89,5,9,135.3,8,0.37,1,--+--+,2
1157ax,P112046114.sdf,c1c(n[n-]n1)C(=O)NC[C@H](CN2CCNCC2)O,0.212,0.1,253.3,-2.57,3,8,104.5,5,0.53,1,------,0
1158ax,P112026652.sdf,CCOc1ccccc1CN2CCNC(=O)[C@@H]2CC(=O)NCc3[n-]nnn3,0.424,0.161,372.4,-0.77,2,10,123.4,8,0.62,1,---+--,1
1159ax,P111989709.sdf,Cc1nc(c(c[nH+]1)CN(/C(=C(/SS/C(=C(/N(C=O)Cc2c(nc([nH+]c2)C)N)\C)/CCOC(=O)C(C)C)\CCOC(=O)C(C)C)/C)C=O)N,0.576,0.03,704.9,3.53,6,14,199.3,19,0.12,0,--++++,4
1160ax,P111980363.sdf,CC(=O)N[C@H]1[C@H]([C@@H]([C@@H](O[C@@H]1O[C@@H]2[C@@H]([C@@H](O[C@@H]([C@@H]2O)CO)Oc3ccc(cc3)[N+](=O)[O-])NC(=O)C)CO)O)O,0.303,0.24,545.5,-3.11,7,16,239.4,9,0.12,10,--++-+,3
1161ax,P111980361.sdf,CC(=O)N[C@H]1[C@@H]([C@@H]([C@@H](O[C@@H]1O[C@@H]2[C@@H]([C@@H](O[C@@H]([C@@H]2O)CO)Oc3ccc(cc3)[N+](=O)[O-])NC(=O)C)CO)O)O,0.182,0.23,545.5,-3.11,7,16,239.4,9,0.12,10,--++-+,3
1162ax,P111980268.sdf,Cc1cc(=O)oc2c1ccc(c2)O[C@@H]3[C@H]([C@@H]([C@@H]([C@@H](O3)CO)O[C@@H]4[C@@H]([C@@H]([C@@H]([C@@H](O4)CO)O)O)NC(=O)C)O)NC(=O)C,0.182,0.24,582.6,-2.61,7,15,226.5,8,0.16,10,--++-+,3
1163ax,P111978842.sdf,CN(Cc1cnc2c(n1)c(nc([nH+]2)N)N)c3ccc(cc3)C(=O)N[C@H](CCC(=O)NCCNC(=O)CCCC[C@H]4[C@@H]5[C@H](CS4)NC(=O)N5)C(=O)[O-],0.303,0.23,722.8,-1.77,10,18,276.6,17,0.06,4,--++++,4
1164ax,P111978840.sdf,CN(Cc1cnc2c(n1)c(nc([nH+]2)N)N)c3ccc(cc3)C(=O)N[C@@H](CCC(=O)NCCNC(=O)CCCC[C@H]4[C@@H]5[C@H](CS4)NC(=O)N5)C(=O)[O-],0,0.24,722.8,-1.77,10,18,276.6,17,0.06,4,--++++,4
1165ax,P111978508.sdf,CN(Cc1cnc2c(n1)c(nc(n2)N)N)c3ccc(cc3)C(=O)N[C@H](CCC(=O)NCCNC(=O)CCCC[C@H]4[C@@H]5[C@H](CS4)NC(=O)N5)C(=O)[O-],0.303,0.18,721.8,-1.19,9,18,275.4,17,0.06,4,--++++,4
1166ax,P111978507.sdf,CN(Cc1cnc2c(n1)c(nc(n2)N)N)c3ccc(cc3)C(=O)N[C@@H](CCC(=O)NCCNC(=O)CCCC[C@H]4[C@@H]5[C@H](CS4)NC(=O)N5)C(=O)[O-],0.303,0.19,721.8,-1.19,9,18,275.4,17,0.06,4,--++++,4
1167ax,P111976122.sdf,C1[C@H]2[C@@H]([C@@H](S1)CCCCC(=O)NCCSSCCC(=O)N[C@@H](C(=O)NCCCC(=O)O)C(=O)NCCCC(=O)[O-])NC(=O)N2,0.273,0.15,677.8,-1.29,7,15,235,23,0.03,4,--++++,4
1168ax,P111976118.sdf,Cc1ccc(c(c1)OCCOc2cc(ccc2[NH+](CC(=O)[O-])CC(=O)[O-])CCC[NH3+])N(CC(=O)[O-])CC(=O)[O-],0,0.15,545.5,-6.05,4,13,214.3,18,0.17,0,---+++,3
1169ax,P111976071.sdf,C1[C@H]2[C@@H]([C@@H](S1)CCCCC(=O)NCCCCCC(=O)NCCCCCNC(=O)[C@H](CCCNC(=S)N)N)NC(=O)N2,0.455,0.03,614.9,0.73,10,12,192.5,22,0.05,4,--++++,4
1170ax,P111975864.sdf,Cn1c(nnn1)SCC2=CS[C@@H]3[C@@](C(=O)N3[C@@H]2C(=O)[O-])(NC(=O)C4SC(=C(C(=O)N)C(=O)[O-])S4)OC,0.333,0.1,573.6,-4.07,3,15,225.6,9,0.07,3,---+-+,2
1171ax,P111975727.sdf,CC(C)(C)OC(=O)N[C@@H](CCCCNC(=O)CCCCCNC(=O)CCCC[C@H]1[C@@H]2[C@H](CS1)NC(=O)N2)C(=O)NCCSS(=O)(=O)C,0.091,0.07,723,2.38,6,14,200.9,22,0.05,4,--++++,4
1172ax,P111975679.sdf,C=CCOC(=O)Nc1ccc2c(c1)[nH+]c3cc(ccc3c2NCCNC(=O)CCCC[C@H]4[C@H]5[C@H](CS4)NC(=O)N5)NC(=O)OCC=C,0.182,0.02,662.8,4.53,7,13,173.1,15,0.06,3,--++++,4
1173ax,P111975670.sdf,CS(=O)(=O)SCCNC(=O)CCCCCNC(=O)CCCCCNC(=O)CCCCCNC(=O)CCCC[C@H]1[C@@H]2[C@H](CS1)NC(=O)N2,0.394,0.04,721,2.55,6,13,191.7,27,0.04,3,--++++,4
1174ax,P111975664.sdf,COC(=O)c1ccc(cc1OCCOCCOCCNC(=O)CCCCCNC(=O)CCCC[C@H]2[C@@H]3[C@H](CS2)NC(=O)N3)[C@@]4([NH+]=N4)C(F)(F)F,0,0.07,731.8,1.67,5,14,179.6,23,0.06,4,--++++,4
1175ax,P111975662.sdf,C1[C@H]2[C@@H]([C@@H](S1)CCCCC(=O)NCCSSCCC(=O)NC(C(=O)NCCC(=O)[O-])C(=O)NCCC(=O)[O-])NC(=O)N2,0.515,0.16,648.8,-3.4,6,15,237.8,21,0.03,3,--++++,4
1176ax,P111975647.sdf,C1[C@H]2[C@@H]([C@@H](S1)CCCCC(=O)NCCCCCC(=O)NCCCCCNC(=O)[C@H](CCCNC(=S)N)[NH3+])NC(=O)N2,0.03,0.14,615.9,0.02,11,12,194.1,22,0.05,4,--++++,4
1177ax,P111975252.sdf,CN(CC(=O)NCCCOCCOCCOCCC[NH3+])C(=O)CCCC[C@H]1[C@@H]2[C@H](CS1)NC(=O)N2,0.424,0.05,518.7,-0.64,6,11,145.9,20,0.12,3,--++++,4
1178ax,P111975205.sdf,CS(=O)(=O)SCCNC(=O)[C@H](CCCCNC(=O)CCCCCNC(=O)CCCC[C@H]1[C@H]2[C@@H](CS1)NC(=O)N2)NC(=O)CCCCC[NH3+],0.242,0.13,737,0.77,9,14,219.3,27,0.04,4,--++++,4
1179ax,P111975204.sdf,CS(=O)(=O)SCCNC(=O)[C@H](CCCCNC(=O)CCCCCNC(=O)CCCC[C@@H]1[C@H]2[C@@H](CS1)NC(=O)N2)NC(=O)CCCCC[NH3+],0.242,0.12,737,0.77,9,14,219.3,27,0.04,4,--++++,4
1180ax,P111973277.sdf,c1ccc(c(c1)CN2CCNC(=O)[C@H]2CC(=O)NCCCc3[n-]nnn3)F,0.303,0.05,374.4,-0.59,2,9,114.2,8,0.59,1,------,0
1181ax,P111970627.sdf,CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@H]1O)CO)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)NC(=O)C)O)NC(=O)C)O,0,0.23,627.6,-7.14,11,19,295.3,10,0.11,15,--++++,4
1182ax,P111901404.sdf,C/C=C(\C[C@H](N(Cc1c[nH+]c(nc1N)C)C=O)O)/SS/C(=C\C)/C[C@H](N(Cc2c[nH+]c(nc2N)C)C=O)O,0.03,0.07,564.7,1.11,8,12,187.2,15,0.14,2,--++++,4
1183ax,P111901402.sdf,C/C=C(\C[C@@H](N(Cc1c[nH+]c(nc1N)C)C=O)O)/SS/C(=C\C)/C[C@H](N(Cc2c[nH+]c(nc2N)C)C=O)O,0.273,0.08,564.7,1.11,8,12,187.2,15,0.14,2,--++++,4
1184ax,P111901400.sdf,C/C=C(\C[C@H](N(Cc1c[nH+]c(nc1N)C)C=O)O)/SS/C(=C\C)/C[C@@H](N(Cc2c[nH+]c(nc2N)C)C=O)O,0.333,0.05,564.7,1.11,8,12,187.2,15,0.14,2,--++++,4
1185ax,P111901341.sdf,C/C=C(\C[C@H](N(Cc1cnc(nc1N)C)C=O)O)/SS/C(=C\C)/C[C@H](N(Cc2cnc(nc2N)C)C=O)O,0.333,0.15,562.7,2.27,6,12,184.7,15,0.14,2,--++++,4
1186ax,P111901337.sdf,C/C=C(\C[C@H](N(Cc1cnc(nc1N)C)C=O)O)/SS/C(=C\C)/C[C@@H](N(Cc2cnc(nc2N)C)C=O)O,0.424,0.15,562.7,2.27,6,12,184.7,15,0.14,2,--++++,4
1187ax,P111900805.sdf,CC(=O)N[C@H]1[C@H]([C@H]([C@@H](O[C@H]1O[C@@H]2[C@@H](O[C@H]([C@H]([C@H]2O)NC(=O)C)Oc3ccc(cc3)[N+](=O)[O-])CO)CO)O)O,0.061,0.23,545.5,-3.11,7,16,239.4,9,0.12,10,--++-+,3
1188ax,P111900804.sdf,CC(=O)N[C@H]1[C@H]([C@H]([C@@H](O[C@H]1O[C@@H]2[C@@H]([C@@H](O[C@H]([C@H]2O)CO)Oc3ccc(cc3)[N+](=O)[O-])NC(=O)C)CO)O)O,0.152,0.25,545.5,-3.11,7,16,239.4,9,0.12,10,--++-+,3
1189ax,P111900802.sdf,CC(=O)N[C@H]1[C@H]([C@@H]([C@@H](O[C@H]1O[C@@H]2[C@H]([C@@H]([C@@H](O[C@@H]2OCCN=[N+]=[N-])CO)O)O)CO)O)O,0.121,0.22,452.4,-3.92,7,15,236.2,9,0.08,10,--++-+,3
1190ax,P111709850.sdf,CC(C)(C)O/C(=N/C(=N\C(=O)OC(C)(C)C)/NCC[NH2+]CCOCCO)/[O-],0.091,0.08,390.5,-1.03,4,10,141.4,8,0.27,0,---+-+,2
1191ax,P111607519.sdf,CCN1CCc2c(sc(c2C(=O)N)/N=C(/NC(=O)c3ccn(n3)C)\[S-])C1,0.515,0.02,391.5,0.92,3,8,105.6,4,0.46,0,-----+,1
1192ax,P111606402.sdf,C([C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)O[C@H]([C@@H](CO)O)[C@@H](C(=O)C[O-])O)O)O)O)O,0.606,0.23,341.3,-6.18,7,11,200.2,8,0.22,8,--++-+,3
1193ax,P111284182.sdf,C([C@H](CO[P@@](=O)([O-])O[C@H]1[C@@H]([C@H]([C@@H]([C@H]([C@H]1O)O[P@@](=O)(O)[O-])O[P@@](=O)(O)[O-])O)O)O)O,0.212,0.24,491.1,-6,7,17,298.9,10,0.14,10,--++++,4
1194ax,P111284167.sdf,C([C@H](CO[P@@](=O)([O-])O[C@H]1[C@@H]([C@H]([C@@H]([C@H]([C@H]1O)O[P@@](=O)(O)[O-])OP(=O)([O-])[O-])O)O)O)O,0.515,0.21,490.1,-6.63,6,17,301.8,10,0.15,9,--++++,4
1195ax,P111282409.sdf,CC(C)(C)OC(=O)C(C[C@@H](C(=O)[O-])[NH3+])(C(=O)OC(C)(C)C)SSCC[C@@H](C(=O)[O-])[NH3+],0.303,0.06,468.6,-2.71,6,10,188.1,11,0.14,2,--++++,4
1196ax,P111278021.sdf,C([C@@H]1[C@@H]([C@H]([C@@H]([C@H](O1)OC[C@H]([C@@H]([C@@H]([C@@H](CO)O)O)O)O)O)O)O)O,0.061,0.23,344.3,-5.76,9,11,200.5,8,0.2,9,--++-+,3
1197ax,P111278019.sdf,C([C@@H]1[C@@H]([C@H]([C@@H]([C@H](O1)OC[C@@H]([C@@H]([C@@H]([C@@H](CO)O)O)O)O)O)O)O)O,0.121,0.23,344.3,-5.76,9,11,200.5,8,0.2,9,--++-+,3
1198ax,P111271428.sdf,C[C@@H](C(=O)N[C@@H](C)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(=[NH2+])N)C(=O)Nc2ccc(cc2)[N+](=O)[O-])NC(=O)CCC(=O)O,0.121,0.2,634.7,-2.67,10,18,280.8,16,0.03,4,--++++,4
1199ax,P111271409.sdf,Cc1cc(=O)oc2c1ccc(c2)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CO)NC(=O)[C@H](C)NC(=O)C,0.727,0.25,591.6,-2.13,8,16,253.5,13,0.12,5,--++++,4
1200ax,P111271401.sdf,c1ccc(cc1)C[C@@H]2C(=O)N[C@H](C(=O)N[C@H](C(=O)NCC(=O)N[C@@H](C(=O)N2)CC(=O)O)CCCNC(=[NH2+])N)CCCC[NH3+],0.303,0.21,605.7,-5.37,14,16,274.1,12,0.06,4,--++++,4
1201ay,P111271391.sdf,CC(=O)N[C@@H](Cc1c[nH+]c[nH]1)C(=O)N[C@@H](Cc2c[nH+]c[nH]2)C(=O)NCC(=O)N[C@@H](Cc3c[nH]c[nH+]3)C(=O)NC,0.485,0.21,544.6,-4.52,11,16,235.3,14,0.1,3,--++++,4
1202ay,P111271297.sdf,c1ccc2c(c1)c(c[nH]2)CC(=O)N[C@@H](CC(=O)N)C(=O)NCCCCCNC(=O)[C@H](CCC[NH3+])NC(=O)[C@H](CCCNC(=[NH2+])N)N,0.576,0.2,645.8,-4.25,17,16,292.6,22,0.03,3,--++++,4
1203ay,P111271296.sdf,c1ccc2c(c1)c(c[nH]2)CC(=O)N[C@@H](CC(=O)N)C(=O)NCCCCCNC(=O)[C@H](CCC[NH3+])NC(=O)[C@@H](CCCNC(=[NH2+])N)N,0.848,0.2,645.8,-4.25,17,16,292.6,22,0.03,3,--++++,4
1204ay,P111271080.sdf,C[C@H]([C@@H](C(=O)N[C@@H](CCCCNC(=O)OCc1ccccc1)C(=O)N2CCC[C@H]2C(=O)N[C@@H](CCCNC(=[NH2+])N)C(=O)[O-])N)O,0,0.21,634.7,-4.05,11,16,266.9,18,0.04,5,--++++,4
1205ay,P111271050.sdf,CC(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@@H](Cc2c[nH+]c[nH]2)C(=O)NCC(=O)N[C@@H](Cc3c[nH]c[nH+]3)C(=O)[O-],0.152,0.23,529.5,-4.94,9,16,245.1,14,0.11,3,--++++,4
1206ay,P111271037.sdf,CC(=O)N[C@@H](Cc1c[nH+]c[nH]1)C(=O)N[C@@H](Cc2cnc[nH]2)C(=O)NCC(=O)N[C@@H](Cc3cnc[nH]3)C(=O)NC,0.333,0.24,542.6,-3.36,9,16,232.8,14,0.1,3,--++++,4
1207ay,P111271034.sdf,CC(=O)N[C@@H](Cc1c[nH+]c[nH]1)C(=O)NCC(=O)N[C@@H](Cc2c[nH]cn2)C(=O)NC,0.364,0.2,405.4,-2.81,7,12,175,10,0.25,2,--++++,4
1208ay,P111271032.sdf,CC(=O)N[C@@H](Cc1c[nH]cn1)C(=O)NCC(=O)N[C@@H](Cc2c[nH+]c[nH]2)C(=O)NC,0.424,0.19,405.4,-2.81,7,12,175,10,0.25,2,--++++,4
1209ay,P111270681.sdf,C[C@@H](C(=O)N[C@@H](C)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(=[NH2+])N)C(=O)Nc2ccc(cc2)[N+](=O)[O-])NC(=O)CCC(=O)[O-],0.515,0.22,633.7,-4.01,9,18,283.6,16,0.03,4,--++++,4
1210ay,P111270576.sdf,Cc1cc(=O)oc2c1ccc(c2)NC(=O)[C@H](CCCCNC(=O)C)NC(=O)CNC(=O)[C@H](CCCNC(=[NH2+])N)NC(=O)C,0.879,0.13,601.7,-2.1,10,15,239.4,16,0.05,2,--++++,4
1211ay,P111270560.sdf,Cc1cc(=O)oc2c1ccc(c2)NC(=O)[C@H](CCCNC(=[NH2+])N)NC(=O)CNC(=O)[C@H](CCC(=O)N)NC(=O)OC(C)(C)C,0.424,0.23,617.7,-1.76,11,16,262.6,14,0.05,2,--++++,4
1212ay,P111270559.sdf,Cc1cc(=O)oc2c1ccc(c2)NC(=O)[C@H](CCCNC(=[NH2+])N)NC(=O)[C@H](C)NC(=O)[C@H](CCC(=O)N)NC(=O)OC(C)(C)C,0.576,0.2,631.7,-1.37,11,16,262.6,14,0.05,3,--++++,4
1213ay,P111249469.sdf,CC(C)OC[C@@H](Cn1c2c(=O)[nH]c(=O)n(c2nc1N/N=C\3/C(=O)NC(=NC3=O)[O-])C)O,0.182,0.15,435.4,-3.65,4,15,208.1,7,0.32,1,---+-+,2
1214ay,P111217449.sdf,c1c(c(c(c[n+]1CCCC[C@H](C(=O)[O-])[NH3+])CC[C@@H](C(=O)[O-])N)CCC[C@@H](C(=O)[O-])N)CC[C@@H](C(=O)[O-])[NH3+],0.333,0.15,524.6,-7.79,10,13,271.7,19,0.1,4,--++++,4
1215ay,P111217443.sdf,c1c(c(c(c[n+]1CCCC[C@@H](C(=O)[O-])[NH3+])CC[C@@H](C(=O)[O-])[NH3+])CCC[C@@H](C(=O)[O-])[NH3+])CC[C@H](C(=O)[O-])[NH3+],0.182,0.18,526.6,-9.23,12,13,275,19,0.1,4,--++++,4
1216ay,P111217398.sdf,c1c(c(c(c[n+]1CCCC[C@@H](C(=O)[O-])N)CC[C@H](C(=O)[O-])N)CCC[C@@H](C(=O)[O-])N)CC[C@@H](C(=O)[O-])[NH3+],0.091,0.13,523.6,-7.08,9,13,270.1,19,0.1,4,--++++,4
1217ay,P111205187.sdf,C1[C@H]2[C@@H]([C@@H](S1)CCCCC(=O)NCCCC[C@@H](C(=O)N)[NH3+])NC(=O)N2,0.303,0.02,372.5,-0.91,8,8,141,11,0.24,4,--+-++,3
1218ay,P111202008.sdf,C(CNC[C@@H]([C@@H]([C@@H]([C@@H](CO)O)O)O)O)[NH2+]C[C@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O,0.545,0.24,389.4,-7.99,13,12,230.9,15,0.12,8,--++++,4
1219ay,P111202006.sdf,C(CNC[C@@H]([C@@H]([C@@H]([C@@H](CO)O)O)O)O)[NH2+]C[C@@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O,0.545,0.24,389.4,-7.99,13,12,230.9,15,0.12,8,--++++,4
1220ay,P111201999.sdf,C(CNC[C@@H]([C@@H]([C@@H]([C@@H](CO)O)O)O)O)[NH2+]C[C@@H]([C@@H]([C@@H]([C@@H](CO)O)O)O)O,0.182,0.24,389.4,-7.99,13,12,230.9,15,0.12,8,--++++,4
1221ay,P111201082.sdf,C(C[NH2+]C[C@@H]([C@@H]([C@@H]([C@@H](CO)O)O)O)O)[NH2+]C[C@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O,0.545,0.21,390.4,-9.02,14,12,235.5,15,0.12,8,--++++,4
1222ay,P111201079.sdf,C(C[NH2+]C[C@@H]([C@@H]([C@@H]([C@@H](CO)O)O)O)O)[NH2+]C[C@@H]([C@@H]([C@@H]([C@@H](CO)O)O)O)O,0.242,0.22,390.4,-9.02,14,12,235.5,15,0.12,8,--++++,4
1223ay,P111200530.sdf,c1cn(c2c1c(=O)nc([nH]2)N)[C@H]3C[C@H]([C@@H](O3)CO[P@@](=O)([O-])O[P@@](=O)([O-])O[P@@](=O)(O)[O-])O,0.667,0.22,503.2,-2.6,5,17,274.5,8,0.27,6,--++-+,3
1224ay,P111200529.sdf,c1cn(c2c1c(=O)nc([nH]2)N)[C@@H]3C[C@H]([C@@H](O3)CO[P@@](=O)([O-])O[P@@](=O)([O-])O[P@@](=O)(O)[O-])O,0.273,0.21,503.2,-2.6,5,17,274.5,8,0.27,6,--++-+,3
