nwname,fname,smile,CHA score,CCA score,mws,logps,hbds,hbas,psas,robs,qeds,chiral_centes,RO5scores,RO5scoresnum
550ak,P156210116.sdf,CCCCCCCCCCC/C=C/C(=O)N[C@@H]1[C@@H]([C@@H]([C@@H](O[C@@H]1O[C@@H]2[C@@H]([C@@H]([C@@H]([C@@H](O2)CO)O)O)NC(=O)C)C[C@@H]([C@@H]3[C@@H]([C@@H]([C@@H](O3)n4ccc(=O)[nH]c4=O)O)O)O)O)O,0.455,0.24,816.9,-2.72,11,20,311.8,20,0.05,15,--++++,4
551al,P156209064.sdf,c1ccc(cc1)CO[C@@H]2[C@@H]([C@@H](O[C@@H]([C@@H]2OCc3ccccc3)O[C@@H]4[C@H]([C@H]([C@H]([C@@H](O4)CO)O)OCc5ccccc5)OCc6ccccc6)CO)O,0,0.24,702.8,3.5,4,11,145.5,16,0.14,10,---+++,3
552al,P156209063.sdf,c1ccc(cc1)CO[C@H]2[C@H]([C@H](O[C@@H]([C@@H]2OCc3ccccc3)O[C@@H]4[C@@H]([C@@H]([C@@H]([C@@H](O4)CO)O)OCc5ccccc5)OCc6ccccc6)CO)O,0.667,0.25,702.8,3.5,4,11,145.5,16,0.14,10,---+++,3
553al,P156201948.sdf,C[NH2+]CC(=O)N[C@H](CCCNC(=[NH2+])N)C(=O)NCC(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CO)C(=O)N1CCC[C@@H]1C(=O)[O-],0.212,0.23,602.6,-9.6,13,19,314.6,18,0.04,4,--++++,4
554al,P156201946.sdf,C[NH2+]CC(=O)N[C@@H](CCCNC(=[NH2+])N)C(=O)NCC(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CO)C(=O)N1CCC[C@@H]1C(=O)[O-],0.394,0.2,602.6,-9.6,13,19,314.6,18,0.04,4,--++++,4
555al,P156201942.sdf,CC(C)C[C@@H](C(=O)N[C@@H](CCSC)C(=O)N)N1CC[C@@H](C1=O)NC(=O)[C@H](C(C)C)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](CO)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CCCC[NH3+])[NH3+],0.758,0.24,923.1,-3.83,16,21,350.8,29,0.03,8,--++++,4
556al,P156201937.sdf,CC(=O)N[C@@H](Cc1c[nH]c2c1cccc2)C(=O)N[C@@H](CCC(=O)[O-])C(=O)N[C@@H](Cc3c[nH+]c[nH]3)C(=O)N[C@@H](CC(=O)O)C(=O)Nc4ccc5c(cc(=O)oc5c4)C(F)(F)F,0.576,0.24,838.8,-0.18,9,19,298.9,18,0.05,4,--++++,4
557al,P156201933.sdf,CC(=O)N[C@H](CC(=O)O)C(=O)N[C@H](Cc1ccc(cc1)O)C(=O)N[C@@H](CCSC)C(=O)NCC(=O)N[C@@H](Cc2c[nH]c3c2cccc3)C(=O)N[C@@H](CCSC)C(=O)N,0.727,0.24,843,-0.31,11,18,291,24,0.06,5,--++++,4
558al,P156201931.sdf,CC(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](Cc1ccc(cc1)O)C(=O)N[C@@H](CCSC)C(=O)NCC(=O)N[C@@H](Cc2c[nH]c3c2cccc3)C(=O)N[C@@H](CCSC)C(=O)N,0.424,0.21,843,-0.31,11,18,291,24,0.06,5,--++++,4
559al,P156201885.sdf,CNCC(=O)N[C@H](CCCNC(=[NH2+])N)C(=O)NCC(=O)N[C@@H](CC(=O)[O-])C(=O)N[C@@H](CO)C(=O)N1CCC[C@@H]1C(=O)[O-],0.091,0.2,600.6,-9.91,11,19,312.9,18,0.04,4,--++++,4
560al,P156201883.sdf,CNCC(=O)N[C@@H](CCCNC(=[NH2+])N)C(=O)NCC(=O)N[C@@H](CC(=O)[O-])C(=O)N[C@@H](CO)C(=O)N1CCC[C@@H]1C(=O)[O-],0.455,0.24,600.6,-9.91,11,19,312.9,18,0.04,4,--++++,4
561al,P156201881.sdf,CC(C)C[C@@H](C(=O)N[C@@H](CCSC)C(=O)N)N1CC[C@@H](C1=O)NC(=O)[C@H](C(C)C)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](CO)NC(=O)[C@H](CC(=O)[O-])NC(=O)[C@H](CCCC[NH3+])N,0.485,0.24,921.1,-4.45,14,21,352,29,0.03,8,--++++,4
562al,P156201871.sdf,C1C[C@H](N(C1)C(=O)[C@H](CSSC[C@@H](C(=O)[O-])N)NC(=O)[C@H](CC(=O)N)NC(=O)[C@@H]2CCC(=O)N2)C(=O)N[C@@H](CCCNC(=[NH2+])N)C(=O)NCC(=O)N,0,0.21,774.9,-8.91,16,22,381.8,22,0.02,6,--++++,4
563al,P156201865.sdf,CC(C)C[C@H](C(=O)N[C@H](CCSC)C(=O)N)NC(=O)CNC(=O)[C@@H](Cc1ccccc1)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@@H](CCC(=O)N)NC(=O)[C@@H](CCC(=O)N)NC(=O)[C@@H]3CCCN3,0.364,0.21,966.2,-1.94,14,21,345,30,0.04,7,--++++,4
564al,P156201863.sdf,CC(C)C[C@@H](C(=O)N[C@H](CCSC)C(=O)N)NC(=O)CNC(=O)[C@@H](Cc1ccccc1)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@@H](CCC(=O)N)NC(=O)[C@@H](CCC(=O)N)NC(=O)[C@@H]3CCCN3,0.333,0.24,966.2,-1.94,14,21,345,30,0.04,7,--++++,4
565al,P156201861.sdf,CC(C)C[C@H](C(=O)N[C@@H](CCSC)C(=O)N)NC(=O)CNC(=O)[C@@H](Cc1ccccc1)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@@H](CCC(=O)N)NC(=O)[C@@H](CCC(=O)N)NC(=O)[C@@H]3CCCN3,0.364,0.22,966.2,-1.94,14,21,345,30,0.04,7,--++++,4
566al,P156201859.sdf,CC(C)C[C@@H](C(=O)N[C@@H](CCSC)C(=O)N)NC(=O)CNC(=O)[C@@H](Cc1ccccc1)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@@H](CCC(=O)N)NC(=O)[C@@H](CCC(=O)N)NC(=O)[C@@H]3CCCN3,0.394,0.23,966.2,-1.94,14,21,345,30,0.04,7,--++++,4
567al,P156201841.sdf,c1ccc2cc(ccc2c1)NC(=O)[C@H](CSSC[C@@H](C(=O)Nc3ccc4ccccc4c3)NC(=O)CC[C@@H](C(=O)[O-])N)NC(=O)CC[C@@H](C(=O)[O-])[NH3+],0.273,0.23,747.9,-0.08,9,14,250.3,19,0.05,4,--++++,4
568al,P156201795.sdf,CC(C)[C@@H](C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CSc1c(cccn1)[N+](=O)[O-])C(=O)NCC(=O)N)NC(=O)[C@H](CCC(=O)N)NC(=O)[C@H](Cc2ccccc2)[NH3+],0.303,0.21,773.9,-1.95,12,19,315.3,22,0.04,5,--++++,4
569al,P156201636.sdf,CC[C@H](C)[C@@H](C(=O)N[C@@H](CCC(=O)N)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CS)C(=O)[O-])NC(=O)[C@H](CCC(=O)[O-])NC(=O)[C@H](CO)NC(=O)[C@H](C(C)C)NC(=O)[C@H](CO)[NH3+],0.152,0.24,877,-7.8,14,23,395.1,29,0.03,9,--++++,4
570al,P156201610.sdf,C[C@H](C[C@@H]([C@H](CC(C)C)NC(=O)[C@H](CC(=O)N)NC(=O)[C@H](C(C)C)NC(=O)[C@H](CCC(=O)[O-])[NH3+])O)C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(=O)[O-])C(=O)N[C@@H](Cc1ccccc1)C(=O)[O-],0.576,0.23,891,-6.46,12,22,385.9,29,0.04,9,--++++,4
571al,P156201556.sdf,c1cc(c[n+](c1)[C@H]2[C@@H]([C@@H]([C@H](O2)CO[P@@](=O)([O-])O[P@@](=O)([O-])OC[C@@H]3[C@H]([C@H]([C@@H](O3)n4cnc5c4ncnc5NCC(=O)NCCCCCC[NH3+])O)O)O)O)C(=O)N,0.091,0.25,819.7,-4.53,11,24,366.7,20,0.03,10,--++++,4
572al,P156201525.sdf,C[C@H]([C@@H](C(=O)N[C@@H](CCCC[NH3+])C(=O)N1CCC[C@@H]1C(=O)N[C@@H](CCCNC(=[NH2+])N)C(=O)[O-])NC(=O)Cc2ccc(cc2)N)O,0.273,0.23,634.8,-5.76,14,16,285.3,18,0.03,5,--++++,4
573al,P156201523.sdf,C[C@@H]([C@@H](C(=O)N[C@@H](CCCC[NH3+])C(=O)N1CCC[C@@H]1C(=O)N[C@@H](CCCNC(=[NH2+])N)C(=O)[O-])NC(=O)Cc2ccc(cc2)N)O,0.333,0.24,634.8,-5.76,14,16,285.3,18,0.03,5,--++++,4
574al,P156201508.sdf,Cc1cc(=O)oc2c1ccc(c2)NC(=O)[C@H](CCCNC(=[NH2+])N)NC(=O)[C@@H](C)NC(=O)[C@@H](CCC(=O)N)NC(=O)OC(C)(C)C,0.273,0.23,631.7,-1.37,11,16,262.6,14,0.05,3,--++++,4
