nwname,fname,smile,CHA score,CCA score
546ak,P156210141.sdf,CC[N+]1=c2cc3c(=[NH+]c4cc5c(cc4O3)N(C(C=C5CS(=O)(=O)[O-])(C)C)CCCC(=O)NCCCCCNC(=O)CCCC[C@@H]6[C@@H]7[C@H](CS6)NC(=O)N7)cc2CCC1,0.061,0.16
547ak,P156210119.sdf,CCCCCCCCCCC/C=C/C(=O)N[C@H]1[C@H]([C@@H]([C@@H](O[C@@H]1O[C@@H]2[C@@H]([C@@H]([C@@H]([C@@H](O2)CO)O)O)NC(=O)C)C[C@@H]([C@@H]3[C@@H]([C@@H]([C@@H](O3)n4ccc(=O)[nH]c4=O)O)O)O)O)O,0.333,0.24
548ak,P156210118.sdf,CCCCCCCCCCC/C=C/C(=O)N[C@@H]1[C@H]([C@@H]([C@@H](O[C@@H]1O[C@@H]2[C@@H]([C@@H]([C@@H]([C@@H](O2)CO)O)O)NC(=O)C)C[C@@H]([C@@H]3[C@@H]([C@@H]([C@@H](O3)n4ccc(=O)[nH]c4=O)O)O)O)O)O,0.424,0.24
549ak,P156210117.sdf,CCCCCCCCCCC/C=C/C(=O)N[C@H]1[C@@H]([C@@H]([C@@H](O[C@@H]1O[C@@H]2[C@@H]([C@@H]([C@@H]([C@@H](O2)CO)O)O)NC(=O)C)C[C@@H]([C@@H]3[C@@H]([C@@H]([C@@H](O3)n4ccc(=O)[nH]c4=O)O)O)O)O)O,0.455,0.24
550ak,P156210116.sdf,CCCCCCCCCCC/C=C/C(=O)N[C@@H]1[C@@H]([C@@H]([C@@H](O[C@@H]1O[C@@H]2[C@@H]([C@@H]([C@@H]([C@@H](O2)CO)O)O)NC(=O)C)C[C@@H]([C@@H]3[C@@H]([C@@H]([C@@H](O3)n4ccc(=O)[nH]c4=O)O)O)O)O)O,0.455,0.24
551al,P156209064.sdf,c1ccc(cc1)CO[C@@H]2[C@@H]([C@@H](O[C@@H]([C@@H]2OCc3ccccc3)O[C@@H]4[C@H]([C@H]([C@H]([C@@H](O4)CO)O)OCc5ccccc5)OCc6ccccc6)CO)O,0,0.24
552al,P156209063.sdf,c1ccc(cc1)CO[C@H]2[C@H]([C@H](O[C@@H]([C@@H]2OCc3ccccc3)O[C@@H]4[C@@H]([C@@H]([C@@H]([C@@H](O4)CO)O)OCc5ccccc5)OCc6ccccc6)CO)O,0.667,0.25
553al,P156201948.sdf,C[NH2+]CC(=O)N[C@H](CCCNC(=[NH2+])N)C(=O)NCC(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CO)C(=O)N1CCC[C@@H]1C(=O)[O-],0.212,0.23
554al,P156201946.sdf,C[NH2+]CC(=O)N[C@@H](CCCNC(=[NH2+])N)C(=O)NCC(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CO)C(=O)N1CCC[C@@H]1C(=O)[O-],0.394,0.2
555al,P156201942.sdf,CC(C)C[C@@H](C(=O)N[C@@H](CCSC)C(=O)N)N1CC[C@@H](C1=O)NC(=O)[C@H](C(C)C)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](CO)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CCCC[NH3+])[NH3+],0.758,0.24
556al,P156201937.sdf,CC(=O)N[C@@H](Cc1c[nH]c2c1cccc2)C(=O)N[C@@H](CCC(=O)[O-])C(=O)N[C@@H](Cc3c[nH+]c[nH]3)C(=O)N[C@@H](CC(=O)O)C(=O)Nc4ccc5c(cc(=O)oc5c4)C(F)(F)F,0.576,0.24
557al,P156201933.sdf,CC(=O)N[C@H](CC(=O)O)C(=O)N[C@H](Cc1ccc(cc1)O)C(=O)N[C@@H](CCSC)C(=O)NCC(=O)N[C@@H](Cc2c[nH]c3c2cccc3)C(=O)N[C@@H](CCSC)C(=O)N,0.727,0.24
558al,P156201931.sdf,CC(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](Cc1ccc(cc1)O)C(=O)N[C@@H](CCSC)C(=O)NCC(=O)N[C@@H](Cc2c[nH]c3c2cccc3)C(=O)N[C@@H](CCSC)C(=O)N,0.424,0.21
559al,P156201885.sdf,CNCC(=O)N[C@H](CCCNC(=[NH2+])N)C(=O)NCC(=O)N[C@@H](CC(=O)[O-])C(=O)N[C@@H](CO)C(=O)N1CCC[C@@H]1C(=O)[O-],0.091,0.2
560al,P156201883.sdf,CNCC(=O)N[C@@H](CCCNC(=[NH2+])N)C(=O)NCC(=O)N[C@@H](CC(=O)[O-])C(=O)N[C@@H](CO)C(=O)N1CCC[C@@H]1C(=O)[O-],0.455,0.24
561al,P156201881.sdf,CC(C)C[C@@H](C(=O)N[C@@H](CCSC)C(=O)N)N1CC[C@@H](C1=O)NC(=O)[C@H](C(C)C)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](CO)NC(=O)[C@H](CC(=O)[O-])NC(=O)[C@H](CCCC[NH3+])N,0.485,0.24
562al,P156201871.sdf,C1C[C@H](N(C1)C(=O)[C@H](CSSC[C@@H](C(=O)[O-])N)NC(=O)[C@H](CC(=O)N)NC(=O)[C@@H]2CCC(=O)N2)C(=O)N[C@@H](CCCNC(=[NH2+])N)C(=O)NCC(=O)N,0,0.21
563al,P156201865.sdf,CC(C)C[C@H](C(=O)N[C@H](CCSC)C(=O)N)NC(=O)CNC(=O)[C@@H](Cc1ccccc1)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@@H](CCC(=O)N)NC(=O)[C@@H](CCC(=O)N)NC(=O)[C@@H]3CCCN3,0.364,0.21
564al,P156201863.sdf,CC(C)C[C@@H](C(=O)N[C@H](CCSC)C(=O)N)NC(=O)CNC(=O)[C@@H](Cc1ccccc1)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@@H](CCC(=O)N)NC(=O)[C@@H](CCC(=O)N)NC(=O)[C@@H]3CCCN3,0.333,0.24
