nwname,fname,smile,CHA score,CCA score
697an,P155768565.sdf,C[C@@](CC(=O)[C@H](CCC[NH+]=C(N)N)[NH3+])(C(=O)C[NH3+])[C@@](C(=O)[C@@H](CC(=O)[O-])N)(C(=O)[O-])N,0.515,0.25
698an,P155768564.sdf,C[C@@](CC(=O)[C@H](CCC[NH+]=C(N)N)N)(C(=O)C[NH3+])[C@@](C(=O)[C@@H](CC(=O)[O-])N)(C(=O)[O-])N,0.758,0.19
699an,P155768561.sdf,C[C@@](CC(=O)[C@H](CCC[NH+]=C(N)N)[NH3+])(C(=O)CN)[C@@](C(=O)[C@@H](CC(=O)[O-])[NH3+])(C(=O)[O-])N,0.364,0.25
700an,P155768559.sdf,C[C@](CC(=O)[C@@H](CCC[NH+]=C(N)N)N)(C(=O)C[NH3+])[C@@](C(=O)[C@@H](CC(=O)[O-])N)(C(=O)[O-])N,0.364,0.22
701ao,P155768557.sdf,C[C@](CC(=O)[C@@H](CCC[NH+]=C(N)N)N)(C(=O)CN)[C@@](C(=O)[C@@H](CC(=O)[O-])[NH3+])(C(=O)[O-])N,0.606,0.23
702ao,P155768555.sdf,C[C@@](CC(=O)[C@@H](CCC[NH+]=C(N)N)N)(C(=O)C[NH3+])[C@@](C(=O)[C@@H](CC(=O)[O-])[NH3+])(C(=O)[O-])N,0.212,0.2
703ao,P155768554.sdf,C[C@@](CC(=O)[C@@H](CCC[NH+]=C(N)N)[NH3+])(C(=O)C[NH3+])[C@@](C(=O)[C@@H](CC(=O)[O-])N)(C(=O)[O-])N,0.333,0.2
704ao,P155768551.sdf,C[C@@](CC(=O)[C@@H](CCC[NH+]=C(N)N)[NH3+])(C(=O)CN)[C@@](C(=O)[C@@H](CC(=O)[O-])[NH3+])(C(=O)[O-])N,0.333,0.2
705ao,P155768471.sdf,c1cn(c(=O)[nH]c1=O)[C@@H]2[C@@H]([C@@H]([C@@H](O2)CO[P@@](=O)(N3CCOCC3)[O-])O)O,0,0.21
706ao,P155768401.sdf,C[C@](CC(=O)[C@H](CCC[NH+]=C(N)N)[NH3+])(C(=O)CN)[C@@](C(=O)[C@@H](CC(=O)[O-])N)(C(=O)[O-])N,0.152,0.25
707ao,P155768399.sdf,C[C@](CC(=O)[C@@H](CCC[NH+]=C(N)N)[NH3+])(C(=O)CN)[C@@](C(=O)[C@@H](CC(=O)[O-])N)(C(=O)[O-])N,0.303,0.24
708ao,P155768398.sdf,C[C@@](CC(=O)[C@@H](CCC[NH+]=C(N)N)[NH3+])(C(=O)CN)[C@@](C(=O)[C@@H](CC(=O)[O-])N)(C(=O)[O-])N,0.303,0.23
709ao,P155732614.sdf,Cc1ccc(cc1)S(=O)(=O)NCC(=O)N/N=C/c2cn(c3c2cccc3)C[C@@H](CNCCCO)O,0.152,0.07
710ao,P155731724.sdf,Cc1ccc(cc1)S(=O)(=O)NCC(=O)N/N=C\c2cn(c3c2cccc3)C[C@H](C[NH2+]CCCO)O,0.545,0.08
711ao,P155731722.sdf,Cc1ccc(cc1)S(=O)(=O)NCC(=O)N/N=C\c2cn(c3c2cccc3)C[C@@H](C[NH2+]CCCO)O,0.424,0.15
712ao,P155662497.sdf,CCOc1ccc(cc1OCC)CCNS(=O)(=O)c2cc(ccc2C)C3=NN[C@H](c4c3cccc4)Nc5ccc(cc5)OCC(=O)N,0.697,0.06
713ao,P155662157.sdf,c1ccc(cc1)OC[C@@H](C[NH+](CCN(C[C@H](COc2ccccc2)O)C[C@@H](COc3ccccc3)O)C[C@@H](COc4ccccc4)O)O,0.212,0.4
714ao,P155662155.sdf,c1ccc(cc1)OC[C@@H](C[NH+](CCN(C[C@@H](COc2ccccc2)O)C[C@@H](COc3ccccc3)O)C[C@@H](COc4ccccc4)O)O,0.242,0.41
715ao,P155660710.sdf,C1COCC[NH+]1C[C@H](Cn2c(c(c(=O)n(c2=O)C[C@@H](CN3CCOCC3)O)C[C@@H](CN4CCOCC4)O)[O-])O,0.273,0.08
716ao,P155641202.sdf,c1ccc(c(c1)C(=O)N/N=C\[C@H]([C@@H]([C@@H](COC[C@@H]2[C@@H]([C@@H]([C@@H]([C@@H](O2)CO)O)O)O)[C@@H](CO)O)O)O)[O-],0.03,0.23
717ao,P155640987.sdf,c1ccc(c(c1)C(=O)N/N=C\[C@@H]([C@@H]([C@@H](COC[C@@H]2[C@@H]([C@@H]([C@@H]([C@@H](O2)CO)O)O)O)[C@@H](CO)O)O)O)O,0.364,0.24
718ao,P155595001.sdf,COc1ccc(cc1)O[C@@H]2[C@H]([C@@H]([C@@H]([C@@H](O2)CO)O[C@@H]3[C@@H]([C@@H]([C@@H]([C@@H](O3)CO)O)O)O)O)O,0.333,0.23
719ao,P155591810.sdf,CC(=O)N[C@H](CC(=O)O)C(=O)N[C@@H](Cc1ccc(cc1)O)C(=O)N[C@@H](CCSC)C(=O)NCC(=O)N[C@@H](Cc2c[nH]c3c2cccc3)C(=O)N[C@@H](CCSC)C(=O)N,0.212,0.23
720ao,P155591809.sdf,CC(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc1ccc(cc1)O)C(=O)N[C@@H](CCSC)C(=O)NCC(=O)N[C@@H](Cc2c[nH]c3c2cccc3)C(=O)N[C@@H](CCSC)C(=O)N,0.515,0.21
721ao,P155556414.sdf,COc1cc2c(cc1OC)OC[C@H]3[C@H]2C(=O)c4ccc5c(c4O3)C[C@H](O5)C(=C)CO[C@H]6[C@@H]([C@H]([C@@H]([C@@H](O6)CO[C@H]7[C@@H]([C@H]([C@H](CO7)O)O)O)O)O)O,0.697,0.25
722ao,P155556412.sdf,COc1cc2c(cc1OC)OC[C@H]3[C@@H]2C(=O)c4ccc5c(c4O3)C[C@H](O5)C(=C)CO[C@H]6[C@@H]([C@H]([C@@H]([C@@H](O6)CO[C@H]7[C@@H]([C@H]([C@H](CO7)O)O)O)O)O)O,0.515,0.23
723ao,P155546393.sdf,C/C(=N\O)/C(=O)NCCC[NH2+]CCCNC(=O)/C(=N/O)/C,0.242,0.03
724ao,P155544068.sdf,CCOC(=O)C(CC[C@@]([NH3+])([P@](=O)(O)[O-])P(=O)([O-])[O-])(CCC([NH3+])([P@](=O)(O)[O-])[P@](=O)(O)[O-])C(=O)OCC,0.424,0.17
725ao,P155521801.sdf,CC[C@H](C)[C@@H](C(=O)NCC(=O)N[C@@H](CCC[NH+]=C(N)N)C(=O)N[C@@H](CC(C)C)C(=O)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CO)N,0.485,0.2
726ao,P155519210.sdf,CCCCCCCC(=O)OC[C@H](CO[P@@](=O)([O-])O[C@@H]1[C@@H]([C@@H]([C@H]([C@@H]([C@H]1O)O[P@@](=O)(O)[O-])O)O)O)OC(=O)CCCCCCC,0.182,0.25
727ao,P155499863.sdf,CC(C)C[C@@H](C(=O)N[C@@H](CCC(=O)[O-])C(=O)N[C@@H](Cc1c[nH+]c[nH]1)C(=O)N[C@@H](CC(=O)O)C(=O)Nc2ccc3c(cc(=O)oc3c2)C(F)(F)F)NC(=O)C,0.424,0.21
728ao,P155499081.sdf,c1cn(c(=O)nc1N)[C@H]2[C@H]([C@@H]([C@@H](O2)CO)O[P@@](=O)([O-])OC[C@@H]3[C@@H]([C@@H]([C@@H](O3)n4cnc5c4ncnc5N)O)O)O,0.606,0.23
729ao,P155499080.sdf,c1cn(c(=O)nc1N)[C@@H]2[C@H]([C@@H]([C@@H](O2)CO)O[P@@](=O)([O-])OC[C@@H]3[C@@H]([C@@H]([C@@H](O3)n4cnc5c4ncnc5N)O)O)O,0.394,0.25
730ao,P155498647.sdf,C[C@H]1[C@H]([C@@H]([C@@H]([C@@H](O1)O[C@@H]([C@@H](C=O)NC(=O)C)[C@@H]([C@@H](CO)O)O[C@@H]2[C@@H]([C@@H]([C@@H]([C@@H](O2)CO)O)O)O)O)O)O,0.121,0.24
731ao,P155245345.sdf,c1cc(oc1C[NH2+]CC2(CC2)CCO)S(=O)(=O)N,0.273,0
732ao,P155187221.sdf,COCCn1c(c(cn1)Br)[C@@H]([C@@H]2COCCO2)NN,0.121,0.03
733ao,P154623650.sdf,CN(C)CCn1c(c(cn1)OC)[C@@H](c2[nH]ncn2)NN,0.394,0.08
734ao,P15358831.sdf,COCCNC(=O)Cn1c(c[nH+]c1SCC(=O)Nc2ccc(cc2)OC(F)(F)F)CO,0.545,0.13
735ao,P153357595.sdf,C[C@@H](C=O)NC(=O)[C@H](CCC(=O)N)NC(=O)[C@H]([C@@H]1CC[NH+]=C(N1)N)NC(=O)N[C@@H](CC(C)C)C=O,0.424,0.22
736ao,P153352842.sdf,CC[C@H](CCNCCCCNC(=O)OCC(=O)NCCCCCC[NH+]=C(N)N)[NH3+],0.909,0
737ao,P153352841.sdf,CC[C@@H](CCNCCCCNC(=O)OCC(=O)NCCCCCC[NH+]=C(N)N)[NH3+],0.303,0.02
738ao,P15270485.sdf,CCCCO[C@H]1[C@@H]2[C@@H](O[C@@H]1[C@@H](CO[C@@H]3[C@@H]([C@@H]([C@@H]([C@@H](O3)CO)O)O)NC(=O)C)O)OC(O2)(C)C,0.242,0.23
739ao,P152017208.sdf,c1c(c(=O)[nH]c(=O)n1[C@H]2C[C@@H]([C@H](O2)CO[P@@](=O)([O-])O[P@@](=O)([O-])O[P@@](=O)(O)[O-])O)Cl,0.03,0.16
740ao,P152016650.sdf,C[NH2+]CC[P@@](=O)(N[C@@H](CO)C(=O)N[C@@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O)[O-],0.424,0.22
741ao,P152015667.sdf,[H]/N=C(\N)/N(CCC[NH3+])/N=C/C(=N/N(CCC[NH3+])/C(=N/[H])/N)/C,0.273,0.03
742ao,P152015666.sdf,[H]/N=C(/N)\N(CCC[NH3+])/N=C/C(=N/N(CCC[NH3+])/C(=N\[H])/N)/C,0.242,0.04
743ao,P152014804.sdf,C[NH2+]Cc1ccc(o1)CSCCN/C(=N/S(=O)(=O)C)/NC[C@@H](c2ccc(cc2)O)O,0.606,0.13
744ao,P152008910.sdf,c1c([nH]c(=O)[nH+]c1O[P@@](=O)([O-])O[P@@](=O)([O-])O[P@@](=O)(O)[O-])[NH+]=C2CCCC2,0.394,0.15
745ao,P152008873.sdf,CN(c1ccc(cc1)C(=O)N[C@H](CCCC[P@](=O)(O)[O-])C(=O)[O-])c2cnc3c(n2)c(nc([nH+]3)N)N,0.394,0.2
746ao,P152008698.sdf,c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)CS/C(=C\C[NH3+])/CCCCC[NH2+]CCCN)O)O)N,0.182,0.12
747ao,P152008560.sdf,c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)CS/C(=C\C[NH3+])/CCCCC[NH2+]CCC[NH3+])O)O)N,0.394,0.09
748ao,P152008237.sdf,CN(c1ccc(cc1)C(=O)N[C@H](CCCC[P@](=O)(O)[O-])C(=O)[O-])c2cnc3c(n2)c(nc(n3)N)N,0.545,0.2
749ao,P151996724.sdf,C[C@H](CCN(C)C(=[NH2+])N)[C@@H](C(=O)N[C@H]1C=C[C@@H](O[C@@H]1C(=O)[O-])n2ccc(nc2=O)N)N,0.455,0.21
750ao,P151996722.sdf,C[C@@H](CCN(C)C(=[NH2+])N)[C@@H](C(=O)N[C@H]1C=C[C@@H](O[C@@H]1C(=O)[O-])n2ccc(nc2=O)N)N,0.394,0.22
751ap,P151996051.sdf,C[C@@H](C(=O)N[C@@H](CCC(=O)OC)C(=O)N)NC(=O)CN[C@H]1[C@H]([C@@H](O[C@@H]([C@H]1O)CO)O)NC(=O)C,0.364,0.23
752ap,P151995547.sdf,c1c(cc(c(c1C(=O)[O-])NCCCCCC(=O)N[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)[N+](=O)[O-])[N+](=O)[O-],0.727,0.22
753ap,P151995544.sdf,c1c(cc(c(c1C(=O)[O-])NCCCCCC(=O)N[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)[N+](=O)[O-])[N+](=O)[O-],0.152,0.25
754ap,P151995021.sdf,C(C[NH+](CCCO)CCN(CCCO)CC[NH+](CCCO)CCCO)CO,0.424,0.17
755ap,P151990401.sdf,C([C@H]([C@@H]([C@H]([C@H]([C@H](C(=O)[O-])OC(=O)[C@@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)O)O)O)O)O,0.333,0.24
756ap,P151989195.sdf,C([C@H](CO)O)C1([C@H]([C@H](C([C@H]([C@H]1O)O)O)O)O)OP(=O)([O-])[O-],0.424,0.61
757ap,P151984284.sdf,C([C@H]1[C@@H](C(=O)[C@H]([C@H](O1)O[C@H]([C@@H](CO)O)[C@H]([C@H](C=O)O)O)O)[O-])O,0.636,0.21
758ap,P151984017.sdf,c1ccc(cc1)/C(=[NH+]/C=C/[NH+]=C(/c2ccc(cc2)OS(=O)(=O)CCO)\N)/N,0.727,0
759ap,P151970719.sdf,C(C(CNC(=O)[O-])(COC(=O)N)COC(=O)N)NC(=O)O,0.424,0.06
760ap,P151967564.sdf,C(CCCC[C@@H](CNC[C@@H](OS(=O)(=O)[O-])[S-])O)CCCCO,0.424,0.05
761ap,P151967371.sdf,C(C[NH3+])CO[P@@](=O)([O-])O[C@@H]1[C@H]([C@@H]([C@H]([C@@H]([C@@H]1O)OP(=O)([O-])[O-])OP(=O)([O-])[O-])O)O,0.545,0.24
762ap,P151962562.sdf,C(CCCO[C@H]1[C@@H]([C@H]([C@H]([C@H](O1)CO[C@H]2[C@@H]([C@H]([C@H]([C@H](O2)CO)O)O)O)O)O)O)CCO,0.152,0.25
763ap,P151873421.sdf,Cn1c2c(c(=O)[nH]c1=O)n(c(n2)CN3CCN(CC3)c4ccc(cc4)F)CC(=O)N,0.333,0.01
764ap,P151848449.sdf,c1cc(ccc1N2C(=O)C[C@H](C2=O)NCC[NH+]3CCOCC3)N4C(=O)C[C@H](C4=O)NCC[NH+]5CCOCC5,0.515,0.02
765ap,P151826566.sdf,COCC(=O)NC[C@@H]1[C@H]([C@@H](CO1)NCc2c[nH]cn2)O,0.364,0.14
766ap,P151825157.sdf,CC(C)(C=C)O[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO[C@H]2[C@@H]([C@](CO2)(CO)O)O)O)O)O,0.182,0.15
767ap,P15150808.sdf,C[C@]1([C@]([C@@]([C@@]([C@](O1)(C)O[C@@H]([C@@H](CC=O)O)[C@@H](CO)O)(C)O)(C)O)(C)O)CO,0.424,0.23
768ap,P151492468.sdf,COCCn1cncc1CNC(=O)Nc2cc(ccc2F)[N-]S(=O)(=O)C,0.061,0.05
769ap,P151481216.sdf,CN(C)S(=O)(=O)Nc1cccc(c1)NC(=O)NCCOCCO,0.455,0
770ap,P151402597.sdf,Cc1cc(=O)c(c(o1)[C@H](CC(=O)OC)c2ccc(c(c2)OC)OCC(=O)N)[O-],0.394,0.045
771ap,P151309580.sdf,CC1=CC(=O)CC([C@@H]1/C=C/[C@H](C)O[C@@H]2[C@@H]([C@@H]([C@@H]([C@@H](O2)CO[C@@H]3[C@@H]([C@@H]([C@@H](CO3)O)O)O)O)O)O)(C)C,0.03,0.19
772ap,P151229435.sdf,COc1cc(ccc1O)/C=C/C(=O)OC[C@@H]2[C@H]([C@@H]([C@H]([C@H](O2)O[C@]3([C@H]([C@@H]([C@H](O3)CO)O)O)CO)O)O)O,0.273,0.22
773ap,P151066744.sdf,c1cc(sc1C(=O)N[C@@H](CCC(=O)O)C(=O)[O-])NCCCc2c([nH]c(nc2=O)N)N,0.424,0.12
774ap,P151065339.sdf,c1cc(c(cc1NCCCc2c([nH]c(nc2=O)N)N)F)C(=O)N[C@@H](CCC(=O)O)C(=O)[O-],0.485,0.09
775ap,P151052816.sdf,CC(=O)N[C@]1([C@H]([C@@H]([C@H](O[C@@H]1Nc2ccccc2OC(=O)N)COC(=O)C)OC(=O)C)OC(=O)C)O,0.788,0.19
776ap,P151017260.sdf,CC(=O)N[C@H](C=O)[C@@H]([C@@H]([C@@H](COS(=O)(=O)[O-])O)O[C@H]1[C@@H]([C@H]([C@H]([C@H](O1)CO)O)O)O)O,0.212,0.23
777ap,P151004882.sdf,CC1(O[C@@H]2[C@H](O[C@H]([C@H]2O1)n3cnc4c3ncnc4N)CO[P@@](=O)(C[P@](=O)(O)[O-])[O-])C,0.364,0
778ap,P150983366.sdf,C1=C(O[C@H]([C@@H]([C@H]1O)O)O[C@H]([C@@H](COS(=O)(=O)[O-])O)[C@@H]([C@H](C=O)[NH3+])O)C(=O)[O-],0.273,0.25
779ap,P150983365.sdf,C1=C(O[C@H]([C@@H]([C@H]1O)OS(=O)(=O)[O-])O[C@H]([C@@H](CO)O)[C@@H]([C@H](C=O)[NH3+])O)C(=O)[O-],0.394,0.261
780ap,P150981566.sdf,C([C@@H]1[C@H]([C@@H]([C@@H]([C@@H](O1)OC[C@@H]([C@@H]([C@@H]([C@@H](C=O)O)O)O)O)O)O)O)O,0.424,0.25
781ap,P150900226.sdf,c1[nH+]c(c2c(n1)n(c(n2)NCCCCCC[NH3+])[C@H]3[C@@H]([C@@H]([C@H](O3)CO[P@@](=O)(O)[O-])O)O)N,0.242,0.24
782ap,P150893861.sdf,CN1[C@H](CNC2=[NH+]C(=NC(=O)[C@@H]21)N)CCNc3ccc(cc3)C(=O)N[C@@H](CCC(=O)O)C(=O)[O-],0.576,0.18
783ap,P150893860.sdf,CN1[C@@H](CNC2=[NH+]C(=NC(=O)[C@@H]21)N)CCNc3ccc(cc3)C(=O)N[C@@H](CCC(=O)O)C(=O)[O-],0.273,0.14
784ap,P150867121.sdf,c1c(c(=O)[nH]c(=O)n1[C@H]2[C@@H]([C@H]([C@H](O2)[C@@H](C(=O)[O-])NC(=O)[C@H]([C@@H]([C@H](COC(=O)N)O)O)N)O)O)CO,0.879,0.25
785ap,P150867120.sdf,c1c(c(=O)[nH]c(=O)n1[C@H]2[C@H]([C@@H]([C@H](O2)[C@@H](C(=O)[O-])NC(=O)[C@H]([C@@H]([C@H](COC(=O)N)O)O)N)O)O)CO,0.455,0.23
786ap,P150764502.sdf,C([C@H]([C@@H]([C@@H](/C(=N/NC(=S)N)/C=N/NC(=S)N)O)O)O)O,0.455,0.22
787ap,P150762475.sdf,C([C@H]([C@@H]([C@@H](/C(=N/NC(=S)N)/C=N/NC(=S)N)[O-])O)O)O,0.091,0.17
788ap,P150762473.sdf,C([C@@H]([C@@H]([C@@H](/C(=N\NC(=S)N)/C=N/NC(=S)N)[O-])O)O)O,0.061,0.22
789ap,P150692684.sdf,CC(C)C[C@@]([C@@H](C(=O)OCc1ccc(cc1)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)[O-])(C(=O)OCc3ccc(cc3)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O,0.455,0.24
790ap,P150692614.sdf,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@H]2[C@@H]3C=CO[C@H]([C@@H]3[C@@]4([C@H]2O4)CO)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O)O)O)OC(=O)/C=C/c6ccc(cc6)OC,0,0.22
791ap,P150692613.sdf,CC(C)C[C@@]([C@@H](C(=O)OCc1ccc(cc1)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)(C(=O)OCc3ccc(cc3)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O,0.515,0.24
792ap,P150683102.sdf,C[C@@H]1[C@H]([C@@H]([C@@H]([C@@H](O1)O[C@@H]2[C@@H]([C@@H](O[C@@H]([C@@H]2OC(=O)/C=C/c3ccc(c(c3)O)O)CO)OCCc4ccc(c(c4)O)O)O)O[C@@H]5[C@@H]([C@@H]([C@@H](CO5)O)O)O)O)O,0.576,0.23
793ap,P150683096.sdf,C[C@H]1[C@@H]([C@@H]([C@@H]([C@@H](O1)O[C@@H]2[C@@H]([C@@H](O[C@@H]([C@@H]2OC(=O)/C=C/c3ccc(c(c3)O)O)CO)OCCc4ccc(c(c4)O)O)O)O[C@@H]5[C@@H]([C@@H]([C@@H](CO5)O)O)O)O)O,0.152,0.26
794ap,P150682948.sdf,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H](O[C@H]([C@@H]2O)OC[C@H]3[C@H]([C@@H]([C@@H]([C@@H](O3)Oc4c(=O)c5c(cc(cc5oc4c6ccc(cc6)O)OC)O)O)O)O)C)O)O)O)O,0.515,0.24
795ap,P150682942.sdf,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H](O[C@H]([C@@H]2O)OC[C@@H]3[C@H]([C@@H]([C@@H]([C@@H](O3)Oc4c(=O)c5c(cc(cc5oc4c6ccc(cc6)O)OC)O)O)O)O)C)O)O)O)O,0.364,0.25
796ap,P150682931.sdf,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H](O[C@H]([C@@H]2O)OC[C@@H]3[C@@H]([C@@H]([C@@H]([C@@H](O3)Oc4c(=O)c5c(cc(cc5oc4c6ccc(cc6)O)OC)O)O)O)O)C)O)O)O)O,0.394,0.24
797ap,P150682708.sdf,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@H]2[C@@H]3C=CO[C@H]([C@@H]3[C@@]4([C@H]2O4)CO)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O)OC(=O)/C=C/c6ccc(cc6)O)O)O,0.424,0.22
798ap,P150535738.sdf,CCCCCCCCCC(=O)OC[C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@]2([C@H]([C@@H]([C@H](O2)CO)O)O)CO)O)O)O,0.576,0.24
799ap,P15046179.sdf,Cn1c(c(c(=O)[nH]c1=O)C(=O)CSc2n[nH]c(=O)n2CCCOC)N,0.424,0.08
800ap,P15045945.sdf,COCCCn1c(=O)[nH]nc1SCC(=O)Nc2c(ccs2)C(=O)N,0.091,0.02
801aq,P150354702.sdf,[H]/N=C(/N([C@H](C)c1cc2ccccc2s1)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)C(=O)[O-])O)O)O)\O,0.667,0.294
802aq,P150349840.sdf,CC(C)[C@@H](C(=O)OC[C@@H](CO)OCN1C=N[C@H]2[C@@H]1NC(=NC2=O)N)[NH3+],0.424,0.06
803aq,P150349682.sdf,C([C@H](CO[P@@](=O)([O-])O[C@@H]1[C@@H]([C@@H]([C@H]([C@@H]([C@H]1O)O[P@@](=O)(O)[O-])O[P@@](=O)(O)[O-])O)O)O)O,0,0.24
804aq,P150349602.sdf,C([C@H](CO[P@@](=O)([O-])O[C@@H]1[C@@H]([C@@H]([C@H]([C@@H]([C@H]1O)O[P@@](=O)(O)[O-])OP(=O)([O-])[O-])O)O)O)O,0.636,0.23
805aq,P150349098.sdf,c1c(nc(s1)NC(=[NH2+])N)C[S@@](=O)CC/C(=N/S(=O)(=O)N)/N,0.303,0.1
806aq,P150348167.sdf,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H](O[C@@H]([C@H]2OC(=O)/C=C/c3ccc(c(c3)O)O)CO[C@H]4[C@@H]([C@H]([C@H](CO4)O)O)O)OCCc5ccc(c(c5)O)O)O)O)O)O,0.788,0.267
807aq,P150332090.sdf,C[C@H](C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](C(C)C)C(=O)NCC(=O)N)NC(=O)[C@H](Cc2ccc(cc2)O)[NH3+],0.212,0.18
808aq,P150322055.sdf,CC(C)(C)OC(=O)NCCC(=O)N[C@H](Cc1c[nH]c2c1cccc2)C(=O)N[C@H](CCSC)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc3ccccc3)C(=O)N,0.182,0.22
809aq,P150322054.sdf,CC(C)(C)OC(=O)NCCC(=O)N[C@@H](Cc1c[nH]c2c1cccc2)C(=O)N[C@H](CCSC)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc3ccccc3)C(=O)N,0.091,0.22
810aq,P150322053.sdf,CC(C)(C)OC(=O)NCCC(=O)N[C@H](Cc1c[nH]c2c1cccc2)C(=O)N[C@@H](CCSC)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc3ccccc3)C(=O)N,0.333,0.19
811aq,P150161327.sdf,CC(C)[C@@H](c1[nH]nc(n1)CCNc2cccc(c2)OC)[NH3+],0.242,0.15
812aq,P150147157.sdf,Cc1cc(n(n1)CC(=O)N2CCC3(CC2)c4c([nH]cn4)CCN3C(=O)COC)N,0.303,0.01
813aq,P150108378.sdf,CCNC(=O)[C@@H]1C[C@@H](CN1Cc2nccn2CC)NC(=O)c3c[nH]c(=O)[nH]3,0.091,0.11
814aq,P150091502.sdf,CN1CCN(CC1)[C@H]2CCN(C[C@H]2CCCO)C(=O)Cc3c[nH]c(=O)[nH]c3=O,0.152,0.03
815aq,P149954370.sdf,CN(C)CCOc1ccc(cc1Cl)NC(=O)C(=O)NCCC(=O)N,0.545,0.07
816aq,P149941862.sdf,c1cc2c(cc1c3c(c[nH]n3)CNc4cnn(c4)CC(=O)NCCO)OCCO2,0.727,0.05
817aq,P149929183.sdf,CCCS(=O)(=O)[N-]c1cc(ccc1S(=O)(=O)N2CCO[C@H](C2)C(=O)N)OC,0.576,0.02
818aq,P149156495.sdf,C(C[NH2+]CCNC(=O)/C=N/O)CNCCNC(=O)/C=N/O,0.303,0.04
819aq,P149037369.sdf,CCCc1nc([n-]n1)C(=O)N2CCN(CC2)S(=O)(=O)[NH-],0.333,0
820aq,P149003984.sdf,C[C@@H]1CCC[C@@](C1)(C(=O)[O-])NC(=O)c2nc([n-]n2)C3CC3,0.545,0
821aq,P148983015.sdf,CCOCCCC(=O)NC1(CC[NH+](CC1)C)/C(=N\O)/N,0,0.06
822aq,P148556803.sdf,c1ccc2c(c1)C(=O)[C@@H](/C(=N\[C@@H](CCCC[NH3+])C(=O)[O-])/C2=O)N[C@H](CCCC[NH3+])C(=O)[O-],0.303,0.22
823aq,P147822206.sdf,C[C@@H]1[C@H]([C@@H]([C@@H]([C@H](O1)OC[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)Oc3c(=O)c4c(cc(cc4oc3c5ccc(c(c5)OCCO)OCCO)OCCO)[O-])O)O)O)O)O)O,0.182,0.23
824aq,P147807931.sdf,C[C@@H]1[C@@H]([C@@H]([C@H]([C@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)OCCCCCCCCOC(=O)C)NC(=O)C)O)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)NC(=O)C)O)O)O,0,0.24
825aq,P147807860.sdf,Cc1cc(=O)oc2c1ccc(c2)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O[C@H]4[C@@H]([C@H]([C@H]([C@H](O4)CO)O)O)O)O[C@H]5[C@H]([C@@H]([C@@H]([C@@H](O5)C)O)O)O)NC(=O)C,0.485,0.25
826aq,P147804108.sdf,CC1(c2ccccc2[N+](=C1/C=C/C=C/3\C(c4ccccc4N3CCCCC(=O)NCCOCCOCCNCCO[C@@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O)(C)C)C)C,0.636,0.2
827aq,P147804107.sdf,CC1(c2ccccc2[N+](=C1/C=C/C=C/3\C(c4ccccc4N3CCCCC(=O)NCCOCCOCCNCCO[C@@H]5[C@H]([C@H]([C@@H]([C@@H](O5)CO)O)O)O)(C)C)C)C,0.758,0.15
