DHT,seqid
39.0411,677
24.1722,678
24.8649,679
35.9322,680
45.7031,681
34.9515,682
28.2297,683
33,684
30.4762,685
42.5,686
22.7092,687
27.7439,688
35.6,689
31.7757,690
40.367,691
25.188,692
26.3274,693
34.0952,694
30.1802,695
20.598,696
36.9128,697
26.1986,698
25.6,699
37.7049,700
24.7887,701
28.1768,702
33.5,703
22.7273,704
18.9394,705
27.8947,706
23.9011,707
31.3305,708
25.3846,709
35.6436,710
29.3103,711
27.6119,712
35.503,713
38.7363,714
20.434,715
35.3403,716
30.2521,717
28.8515,718
33.5714,719
29.3617,720
27.8237,721
34.3013,722
30,723
28.5047,724
39.0558,725
27.0085,726
28.7526,727
25.625,728
23.3141,729
31.9672,730
32.7381,731
17.1717,732
32.852,733
35.8543,734
34.8416,735
39.0295,736
40.8163,737
34.8123,738
37.8378,739
24.1245,740
31.1927,741
26.9737,742
23.219,743
18.1818,744
42.2604,745
40.4348,746
38.9513,747
36.6812,748
38.8128,749
34.6555,750
32.4786,751
8.7719,752
33.7143,753
27.027,754
17.5,755
45.8065,756
31.2281,757
35.1852,758
35.5748,759
25.6219,760
29.1925,761
28.6385,762
20.3448,763
27.8146,764
36.9973,765
37.2093,766
40.6639,767
27.0758,768
32.6241,769
20.5505,770
31.8898,771
30.5556,772
33.8809,773
31.2139,774
32.8622,775
30.3523,776
31.8681,777
31.6804,778
38.9706,779
32.1337,780
26.7477,781
34.9558,782
37.6543,783
33.7209,784
31.5789,785
22.49,786
27.993,787
27.8049,788
33.5938,789
33.8078,790
30.5677,791
37.8378,792
36.2963,793
26.6458,794
28.5714,795
38.7255,796
31.2611,797
39.1304,798
29.3617,799
31.2977,800
22.2749,801
21.5031,802
27.4949,803
38.0368,804
27.23,805
24.0909,806
27.1945,807
29.5113,808
32.2222,809
20,810
34.6154,811
25.6966,812
39.6694,813
37.5912,814
32.7778,815
24.024,816
26.7677,817
22.0264,818
29.5455,819
27.0833,820
40.4959,821
36.4116,822
25.9091,823
37.594,824
39.0909,825
41.7526,826
22.5564,827
40.404,828
23.3945,829
24.8062,830
22.9008,831
24.7423,832
21.9697,833
34.4538,834
26.6816,835
28.5714,836
27.4775,837
27.5294,838
23.871,839
33.7553,840
32.4943,841
23.6994,842
30.3509,843
